ts,sellVol,buyVol,dt
1781744400000,10318269.124,10415326.3192,2026-06-18 09:00:00+08:00
1781748000000,11748382.2078,6880739.6751,2026-06-18 10:00:00+08:00
1781751600000,10952826.1784,9937694.4755,2026-06-18 11:00:00+08:00
1781755200000,17669542.9415,14094728.4465,2026-06-18 12:00:00+08:00
1781758800000,20499323.5132,22406973.8543,2026-06-18 13:00:00+08:00
1781762400000,12943560.0218,14430166.2061,2026-06-18 14:00:00+08:00
1781766000000,9963701.2171,8538887.7814,2026-06-18 15:00:00+08:00
1781769600000,10058698.0023,11828805.6953,2026-06-18 16:00:00+08:00
1781773200000,10346248.9244,9284848.515,2026-06-18 17:00:00+08:00
1781776800000,10035976.7936,5434228.836,2026-06-18 18:00:00+08:00
1781780400000,21841807.4811,15229045.2119,2026-06-18 19:00:00+08:00
1781784000000,14746376.02,12658992.4148,2026-06-18 20:00:00+08:00
1781787600000,6947776.588,9868436.573,2026-06-18 21:00:00+08:00
1781791200000,21418015.4671,19427996.4486,2026-06-18 22:00:00+08:00
1781794800000,19483554.4994,21413655.2047,2026-06-18 23:00:00+08:00
1781798400000,83906974.4296,71077562.948,2026-06-19 00:00:00+08:00
1781802000000,24643089.6024,32793839.0748,2026-06-19 01:00:00+08:00
1781805600000,15271243.5046,15784517.4435,2026-06-19 02:00:00+08:00
1781809200000,15916997.7669,14944426.6369,2026-06-19 03:00:00+08:00
1781812800000,11851834.5484,13703885.3182,2026-06-19 04:00:00+08:00
1781816400000,11221672.3347,8765703.0079,2026-06-19 05:00:00+08:00
1781820000000,9013829.4217,4638116.0303,2026-06-19 06:00:00+08:00
1781823600000,6418774.8389,7069213.9419,2026-06-19 07:00:00+08:00
1781827200000,4089392.469,4406997.4474,2026-06-19 08:00:00+08:00
1781830800000,4526688.8293,4888246.6378,2026-06-19 09:00:00+08:00
1781834400000,4782731.6099,6764343.1211,2026-06-19 10:00:00+08:00
1781838000000,8035372.5589,5066705.206,2026-06-19 11:00:00+08:00
1781841600000,25988527.6785,19852122.6383,2026-06-19 12:00:00+08:00
1781845200000,18488031.4538,14628628.1513,2026-06-19 13:00:00+08:00
1781848800000,11100206.6692,11641144.3075,2026-06-19 14:00:00+08:00
1781852400000,8960465.8295,8348159.5144,2026-06-19 15:00:00+08:00
1781856000000,20948318.1678,13632980.6068,2026-06-19 16:00:00+08:00
1781859600000,8104138.185,9379290.778,2026-06-19 17:00:00+08:00
1781863200000,8577536.3152,7156148.5249,2026-06-19 18:00:00+08:00
1781866800000,8430898.9772,7679005.8974,2026-06-19 19:00:00+08:00
1781870400000,4479445.0737,6431128.871,2026-06-19 20:00:00+08:00
1781874000000,15306882.1034,13775874.2076,2026-06-19 21:00:00+08:00
1781877600000,23643480.2679,29998004.0372,2026-06-19 22:00:00+08:00
1781881200000,17667968.2857,18965707.7024,2026-06-19 23:00:00+08:00
1781884800000,12309135.7299,12690086.9333,2026-06-20 00:00:00+08:00
1781888400000,10526005.8752,9571878.741,2026-06-20 01:00:00+08:00
1781892000000,9417477.6363,9970373.9257,2026-06-20 02:00:00+08:00
1781895600000,4517840.6879,3533482.9041,2026-06-20 03:00:00+08:00
1781899200000,4547216.1262,2905612.489,2026-06-20 04:00:00+08:00
1781902800000,4821127.4294,6622145.6711,2026-06-20 05:00:00+08:00
1781906400000,3680706.3791,3747824.5722,2026-06-20 06:00:00+08:00
1781910000000,5195527.9394,4909651.995,2026-06-20 07:00:00+08:00
1781913600000,9974677.1204,9527516.1441,2026-06-20 08:00:00+08:00
1781917200000,12776497.888,13343822.5133,2026-06-20 09:00:00+08:00
1781920800000,4491542.9464,5132991.6715,2026-06-20 10:00:00+08:00
1781924400000,6997299.1916,4985252.1722,2026-06-20 11:00:00+08:00
1781928000000,9890447.3186,5901897.3001,2026-06-20 12:00:00+08:00
1781931600000,21166762.634,21108338.9306,2026-06-20 13:00:00+08:00
1781935200000,39440350.6502,38610230.5713,2026-06-20 14:00:00+08:00
1781938800000,17265420.8043,19681339.5427,2026-06-20 15:00:00+08:00
1781942400000,21302920.5555,14147193.4988,2026-06-20 16:00:00+08:00
1781946000000,9752898.3959,8345699.6456,2026-06-20 17:00:00+08:00
1781949600000,5322393.8048,10017760.364,2026-06-20 18:00:00+08:00
1781953200000,6972598.366,7980986.8478,2026-06-20 19:00:00+08:00
1781956800000,8229474.9493,14381749.4171,2026-06-20 20:00:00+08:00
1781960400000,10571823.8697,7686098.201,2026-06-20 21:00:00+08:00
1781964000000,23395952.2324,16347343.7155,2026-06-20 22:00:00+08:00
1781967600000,27748726.0695,34759584.0917,2026-06-20 23:00:00+08:00
1781971200000,26365130.3314,27264352.4275,2026-06-21 00:00:00+08:00
1781974800000,12649097.8475,12112356.9858,2026-06-21 01:00:00+08:00
1781978400000,11210003.657,11208501.1917,2026-06-21 02:00:00+08:00
1781982000000,8498171.4512,9641243.8096,2026-06-21 03:00:00+08:00
1781985600000,6178143.7959,6092568.8334,2026-06-21 04:00:00+08:00
1781989200000,4502706.1578,4034994.8227,2026-06-21 05:00:00+08:00
1781992800000,6796977.5985,8042032.0355,2026-06-21 06:00:00+08:00
1781996400000,36307161.9972,36983396.1028,2026-06-21 07:00:00+08:00
1782000000000,9699369.0118,9454905.2641,2026-06-21 08:00:00+08:00
1782003600000,14478536.0244,11701970.7251,2026-06-21 09:00:00+08:00
1782007200000,6660958.0581,11471435.9855,2026-06-21 10:00:00+08:00
1782010800000,4040167.3697,8017589.6044,2026-06-21 11:00:00+08:00
1782014400000,15015175.6546,17225985.4803,2026-06-21 12:00:00+08:00
1782018000000,9503466.1454,10005177.9877,2026-06-21 13:00:00+08:00
1782021600000,14482656.7651,10054465.378,2026-06-21 14:00:00+08:00
1782025200000,4613425.0018,7169068.6824,2026-06-21 15:00:00+08:00
1782028800000,14124742.8202,9341121.991,2026-06-21 16:00:00+08:00
1782032400000,13210952.178,11938764.7362,2026-06-21 17:00:00+08:00
1782036000000,17988058.9084,23481036.0778,2026-06-21 18:00:00+08:00
1782039600000,14440831.0829,14405311.4723,2026-06-21 19:00:00+08:00
1782043200000,19968247.5136,17808249.2365,2026-06-21 20:00:00+08:00
1782046800000,14505376.5729,21648225.9538,2026-06-21 21:00:00+08:00
1782050400000,16398266.4406,15834643.9761,2026-06-21 22:00:00+08:00
1782054000000,12432824.3216,10382906.5166,2026-06-21 23:00:00+08:00
1782057600000,14831226.3644,11430304.3705,2026-06-22 00:00:00+08:00
1782061200000,16068102.476,25337499.05,2026-06-22 01:00:00+08:00
1782064800000,15317455.2522,15867727.8305,2026-06-22 02:00:00+08:00
1782068400000,14899376.6972,15068271.8083,2026-06-22 03:00:00+08:00
1782072000000,6304713.9013,7522990.9338,2026-06-22 04:00:00+08:00
1782075600000,30358187.571,9520440.999,2026-06-22 05:00:00+08:00
1782079200000,36576613.9539,32460386.5309,2026-06-22 06:00:00+08:00
1782082800000,12550067.4738,12794747.2605,2026-06-22 07:00:00+08:00
1782086400000,22201158.9943,21871330.4163,2026-06-22 08:00:00+08:00
1782090000000,21690433.2906,24877317.676,2026-06-22 09:00:00+08:00
1782093600000,35011492.2377,49457007.0864,2026-06-22 10:00:00+08:00
1782097200000,14337492.2372,11558907.3424,2026-06-22 11:00:00+08:00
1782100800000,19875377.9603,15096381.9227,2026-06-22 12:00:00+08:00
1782104400000,8111751.4146,11796521.8555,2026-06-22 13:00:00+08:00
1782108000000,13880775.2494,9271398.2161,2026-06-22 14:00:00+08:00
1782111600000,10402314.2905,11497243.0293,2026-06-22 15:00:00+08:00
1782115200000,11584910.0836,12322525.889,2026-06-22 16:00:00+08:00
1782118800000,9575056.7327,11065501.133,2026-06-22 17:00:00+08:00
1782122400000,7275664.5695,7499157.6243,2026-06-22 18:00:00+08:00
1782126000000,5789760.3091,7836750.1307,2026-06-22 19:00:00+08:00
1782129600000,24585919.6444,23006086.2023,2026-06-22 20:00:00+08:00
1782133200000,17186264.7386,18569670.482,2026-06-22 21:00:00+08:00
1782136800000,25362230.9188,30576652.5989,2026-06-22 22:00:00+08:00
1782140400000,35505635.3502,33746578.0706,2026-06-22 23:00:00+08:00
1782144000000,27309377.1013,24049821.9414,2026-06-23 00:00:00+08:00
1782147600000,29533188.7141,23557764.3123,2026-06-23 01:00:00+08:00
1782151200000,9732778.3378,10011143.1834,2026-06-23 02:00:00+08:00
1782154800000,23534774.5718,14314232.2572,2026-06-23 03:00:00+08:00
1782158400000,14495885.4177,17528577.8271,2026-06-23 04:00:00+08:00
1782162000000,4989662.6088,5955697.5193,2026-06-23 05:00:00+08:00
1782165600000,9201351.1654,7191832.931,2026-06-23 06:00:00+08:00
1782169200000,34116098.9559,24947347.6031,2026-06-23 07:00:00+08:00
1782172800000,8528593.9138,6867634.1897,2026-06-23 08:00:00+08:00
1782176400000,10149040.3971,13419684.9114,2026-06-23 09:00:00+08:00
1782180000000,10870499.6328,13492924.8004,2026-06-23 10:00:00+08:00
1782183600000,5776791.7808,11597902.3487,2026-06-23 11:00:00+08:00
1782187200000,9996047.7802,8478374.2376,2026-06-23 12:00:00+08:00
1782190800000,11675935.6988,8287884.5822,2026-06-23 13:00:00+08:00
1782194400000,22004107.2799,19066873.6948,2026-06-23 14:00:00+08:00
1782198000000,58075801.5153,52005485.3471,2026-06-23 15:00:00+08:00
1782201600000,15583697.1276,10915391.2749,2026-06-23 16:00:00+08:00
1782205200000,65316184.6455,65897956.6845,2026-06-23 17:00:00+08:00
1782208800000,12745379.4463,16134156.7325,2026-06-23 18:00:00+08:00
1782212400000,10655708.8683,10914740.0993,2026-06-23 19:00:00+08:00
1782216000000,11498264.4996,18872930.7359,2026-06-23 20:00:00+08:00
1782219600000,12508674.3597,8046899.1754,2026-06-23 21:00:00+08:00
1782223200000,25012176.3638,28152677.9237,2026-06-23 22:00:00+08:00
1782226800000,27059131.4904,22534979.7024,2026-06-23 23:00:00+08:00
1782230400000,20342136.1263,18195397.1872,2026-06-24 00:00:00+08:00
1782234000000,14502073.3012,15630548.0665,2026-06-24 01:00:00+08:00
1782237600000,7182082.3744,7948930.2703,2026-06-24 02:00:00+08:00
1782241200000,5999079.2359,7355204.3384,2026-06-24 03:00:00+08:00
1782244800000,6612036.0243,6724335.998,2026-06-24 04:00:00+08:00
1782248400000,2339894.9495,3530174.0078,2026-06-24 05:00:00+08:00
1782252000000,4125725.5318,5254948.8137,2026-06-24 06:00:00+08:00
1782255600000,9979447.118,10666614.3031,2026-06-24 07:00:00+08:00
1782259200000,10543605.8681,6227494.5982,2026-06-24 08:00:00+08:00
1782262800000,10363738.4353,12759835.5945,2026-06-24 09:00:00+08:00
1782266400000,11837863.1266,11966955.5653,2026-06-24 10:00:00+08:00
1782270000000,15051757.4084,10447627.4817,2026-06-24 11:00:00+08:00
1782273600000,15870518.1414,10924789.4557,2026-06-24 12:00:00+08:00
1782277200000,9709581.6996,11754215.2404,2026-06-24 13:00:00+08:00
1782280800000,11351163.259,10992657.8361,2026-06-24 14:00:00+08:00
1782284400000,8305278.5718,6926329.3162,2026-06-24 15:00:00+08:00
1782288000000,9877179.8591,11049672.3303,2026-06-24 16:00:00+08:00
1782291600000,11544450.359,8691998.8784,2026-06-24 17:00:00+08:00
1782295200000,9223928.1171,10201583.951,2026-06-24 18:00:00+08:00
1782298800000,12448809.6847,11857558.0171,2026-06-24 19:00:00+08:00
1782302400000,31670724.104,33042181.9031,2026-06-24 20:00:00+08:00
1782306000000,13223616.0759,11159282.8776,2026-06-24 21:00:00+08:00
1782309600000,71544028.4259,65303249.1671,2026-06-24 22:00:00+08:00
1782313200000,35295065.7439,32104106.8481,2026-06-24 23:00:00+08:00
1782316800000,51191515.8134,43288505.694,2026-06-25 00:00:00+08:00
1782320400000,85527398.809,68809331.6122,2026-06-25 01:00:00+08:00
1782324000000,75331336.9753,59831819.1048,2026-06-25 02:00:00+08:00
1782327600000,27069689.1136,37293004.2491,2026-06-25 03:00:00+08:00
1782331200000,21237922.0937,16518589.5005,2026-06-25 04:00:00+08:00
1782334800000,35356702.8715,40147986.9455,2026-06-25 05:00:00+08:00
1782338400000,15341558.6321,13932989.063,2026-06-25 06:00:00+08:00
1782342000000,12388644.2424,12552238.3107,2026-06-25 07:00:00+08:00
1782345600000,5499583.398,6277962.643,2026-06-25 08:00:00+08:00
1782349200000,12207687.8204,9206443.0289,2026-06-25 09:00:00+08:00
1782352800000,7976521.5065,9072073.3145,2026-06-25 10:00:00+08:00
1782356400000,6622838.3876,4710107.4635,2026-06-25 11:00:00+08:00
1782360000000,6219453.5912,7451889.9437,2026-06-25 12:00:00+08:00
1782363600000,10802879.1604,21063384.9297,2026-06-25 13:00:00+08:00
1782367200000,32798273.3502,33995174.2226,2026-06-25 14:00:00+08:00
1782370800000,14860009.6249,18157107.1934,2026-06-25 15:00:00+08:00
1782374400000,10240754.0971,10080030.4931,2026-06-25 16:00:00+08:00
1782378000000,11470391.6098,8210642.4849,2026-06-25 17:00:00+08:00
1782381600000,8295516.2061,7015351.4621,2026-06-25 18:00:00+08:00
1782385200000,19309428.1569,12832905.5643,2026-06-25 19:00:00+08:00
1782388800000,13163536.0643,15470835.9525,2026-06-25 20:00:00+08:00
1782392400000,28383262.066,30708822.6955,2026-06-25 21:00:00+08:00
1782396000000,82746633.9981,70198350.5943,2026-06-25 22:00:00+08:00
1782399600000,95052225.8013,111653428.4032,2026-06-25 23:00:00+08:00
