ts,ratio,dt
1782018000000,1.99,2026-06-21 13:00:00+08:00
1782021600000,2.18,2026-06-21 14:00:00+08:00
1782025200000,2.2,2026-06-21 15:00:00+08:00
1782028800000,2.18,2026-06-21 16:00:00+08:00
1782032400000,2.11,2026-06-21 17:00:00+08:00
1782036000000,2.1,2026-06-21 18:00:00+08:00
1782039600000,2.04,2026-06-21 19:00:00+08:00
1782043200000,2.05,2026-06-21 20:00:00+08:00
1782046800000,2.13,2026-06-21 21:00:00+08:00
1782050400000,2.06,2026-06-21 22:00:00+08:00
1782054000000,2.01,2026-06-21 23:00:00+08:00
1782057600000,1.98,2026-06-22 00:00:00+08:00
1782061200000,1.99,2026-06-22 01:00:00+08:00
1782064800000,1.97,2026-06-22 02:00:00+08:00
1782068400000,1.97,2026-06-22 03:00:00+08:00
1782072000000,1.97,2026-06-22 04:00:00+08:00
1782075600000,1.97,2026-06-22 05:00:00+08:00
1782079200000,2.03,2026-06-22 06:00:00+08:00
1782082800000,2.02,2026-06-22 07:00:00+08:00
1782086400000,2.03,2026-06-22 08:00:00+08:00
1782090000000,2.05,2026-06-22 09:00:00+08:00
1782093600000,2.05,2026-06-22 10:00:00+08:00
1782097200000,2.01,2026-06-22 11:00:00+08:00
1782100800000,2.04,2026-06-22 12:00:00+08:00
1782104400000,2.05,2026-06-22 13:00:00+08:00
1782108000000,2.04,2026-06-22 14:00:00+08:00
1782111600000,2.05,2026-06-22 15:00:00+08:00
1782115200000,2.02,2026-06-22 16:00:00+08:00
1782118800000,2.03,2026-06-22 17:00:00+08:00
1782122400000,2.04,2026-06-22 18:00:00+08:00
1782126000000,2.04,2026-06-22 19:00:00+08:00
1782129600000,2.04,2026-06-22 20:00:00+08:00
1782133200000,2.04,2026-06-22 21:00:00+08:00
1782136800000,2.01,2026-06-22 22:00:00+08:00
1782140400000,2.09,2026-06-22 23:00:00+08:00
1782144000000,2.11,2026-06-23 00:00:00+08:00
1782147600000,2.2,2026-06-23 01:00:00+08:00
1782151200000,2.22,2026-06-23 02:00:00+08:00
1782154800000,2.19,2026-06-23 03:00:00+08:00
1782158400000,2.26,2026-06-23 04:00:00+08:00
1782162000000,2.28,2026-06-23 05:00:00+08:00
1782165600000,2.27,2026-06-23 06:00:00+08:00
1782169200000,2.25,2026-06-23 07:00:00+08:00
1782172800000,2.23,2026-06-23 08:00:00+08:00
1782176400000,2.25,2026-06-23 09:00:00+08:00
1782180000000,2.29,2026-06-23 10:00:00+08:00
1782183600000,2.3,2026-06-23 11:00:00+08:00
1782187200000,2.3,2026-06-23 12:00:00+08:00
1782190800000,2.29,2026-06-23 13:00:00+08:00
